,0,1,2,3,4,5
0,13.0,15.0,0.0,1.0,0.0,4.859812404361672
1,22.0,12.0,0.0,15.0,0.0,4.859812404361672
2,18.0,22.0,0.0,6.0,0.0,5.049856007249537
3,5.0,0.0,0.0,7.0,0.0,3.7612001156935624
4,6.0,5.0,0.0,3.0,0.0,4.174387269895637
5,12.0,5.0,1.0,6.0,0.0,4.290459441148391
6,22.0,9.0,0.0,7.0,0.0,5.176149732573829
7,8.0,4.0,0.0,1.0,0.0,4.276666119016055
8,12.0,3.0,0.0,4.0,0.0,4.174387269895637
9,10.0,5.0,0.0,0.0,0.0,4.382026634673881
10,1.0,2.0,0.0,6.0,0.0,3.295836866004329
11,24.0,0.0,1.0,1.0,0.0,4.624972813284271
12,33.0,11.0,0.0,12.0,0.0,5.0369526024136295
13,19.0,5.0,0.0,12.0,0.0,4.90527477843843
14,5.0,7.0,0.0,1.0,0.0,3.5263605246161616
15,11.0,4.0,1.0,4.0,0.0,4.330733340286331
16,14.0,16.0,1.0,4.0,0.0,4.59511985013459
17,4.0,0.0,0.0,5.0,0.0,3.828641396489095
18,10.0,13.0,1.0,2.0,0.0,4.624972813284271
19,23.0,24.0,1.0,2.0,0.0,5.2832037287379885
20,11.0,5.0,1.0,0.0,0.0,3.9889840465642745
21,7.0,10.0,0.0,5.0,0.0,4.204692619390966
22,10.0,6.0,0.0,5.0,0.0,4.07753744390572
23,5.0,5.0,0.0,4.0,0.0,3.828641396489095
24,9.0,18.0,0.0,5.0,0.0,4.276666119016055
25,15.0,16.0,0.0,15.0,0.0,5.0238805208462765
26,23.0,16.0,0.0,18.0,0.0,5.25227342804663
27,20.0,25.0,1.0,24.0,0.0,5.337538079701318
28,11.0,10.0,0.0,9.0,0.0,4.330733340286331
29,2.0,8.0,1.0,2.0,0.0,4.02535169073515
30,12.0,5.0,0.0,11.0,0.0,4.882801922586371
31,37.0,43.0,1.0,23.0,0.0,5.905361848054571
32,49.0,37.0,0.0,20.0,0.0,5.924255797414532
33,11.0,8.0,0.0,3.0,0.0,4.30406509320417
34,73.0,43.0,1.0,17.0,0.0,6.075346031088684
35,2.0,8.0,0.0,1.0,0.0,3.4339872044851463
36,14.0,3.0,0.0,7.0,0.0,4.2626798770413155
37,26.0,7.0,1.0,20.0,0.0,5.214935757608986
38,23.0,27.0,1.0,5.0,0.0,5.1647859739235145
39,5.0,20.0,1.0,5.0,0.0,4.718498871295094
40,14.0,3.0,0.0,12.0,0.0,4.382026634673881
41,22.0,5.0,0.0,14.0,0.0,4.867534450455582
42,10.0,4.0,0.0,1.0,0.0,3.970291913552122
43,12.0,10.0,0.0,8.0,0.0,4.762173934797756
44,43.0,26.0,1.0,2.0,0.0,5.4680601411351315
45,6.0,3.0,0.0,4.0,0.0,3.784189633918261
46,11.0,10.0,1.0,3.0,0.0,4.418840607796598
47,2.0,0.0,0.0,0.0,0.0,3.7612001156935624
48,36.0,11.0,0.0,9.0,0.0,5.3981627015177525
49,9.0,14.0,0.0,7.0,0.0,4.477336814478207
50,9.0,6.0,0.0,15.0,0.0,4.3694478524670215
51,10.0,21.0,0.0,4.0,0.0,4.584967478670572
52,12.0,2.0,0.0,1.0,0.0,3.784189633918261
53,16.0,11.0,0.0,5.0,0.0,4.3694478524670215
54,31.0,14.0,0.0,5.0,0.0,5.135798437050262
